text,normed_text,lower_text,lower_normed_text
Trường Sĩ quan Chỉ Huy Kỹ Thuật quan su,HV Kỹ thuật Quân sự,trường sĩ quan chỉ huy kỹ thuật quan su,hv kỹ thuật quân sự
Trường THPT thong nong truoc 10 01 2020,THPT Thông Nông,trường thpt thong nong truoc 10 01 2020,thpt thông nông
Sĩ Quan Lục Quân 2,Sĩ quan Lục quân,sĩ quan lục quân 2,sĩ quan lục quân
truong trung hoc pho thong an phu,THPT An Phú,truong trung hoc pho thong an phu,thpt an phú
cao đẳng y dược đà nẵng,CĐ Y Dược Đà Nẵng,cao đẳng y dược đà nẵng,cđ y dược đà nẵng
HCM sity University of Law,ĐH Luật TP.HCM,hcm sity university of law,đh luật tp.hcm
THaPT Đoàn Kết,THPT Đoàn Kết,thapt đoàn kết,thpt đoàn kết
huu trac,TC Y Dược Lê Hữu Trác,huu trac,tc y dược lê hữu trác
Nghĩa Hưng A,THPT Nghĩa Hưng,nghĩa hưng a,thpt nghĩa hưng
"Châu Thành 1, châu Thành, Đồng Tháp",THPT Châu Thành,"châu thành 1, châu thành, đồng tháp",thpt châu thành
Tôi yêu Trường THPT Cộng Hiền- Vĩnh Bảo - Hải Phòng,THPT Cộng Hiền,tôi yêu trường thpt cộng hiền- vĩnh bảo - hải phòng,thpt cộng hiền
Truong trung hoc Y Te Quang Ngai,TC Y Tế Quảng Ngãi,truong trung hoc y te quang ngai,tc y tế quảng ngãi
Đại Học Kiến Trúc Thành Phố Hồ Chí Minh,ĐH Kiến trúc TP.HCM,đại học kiến trúc thành phố hồ chí minh,đh kiến trúc tp.hcm
Trường Trường THPT Trung Văn,THPT Trung Văn,trường trường thpt trung văn,thpt trung văn
"THPT  Nguyễn Thị Minh Khai, Quận 3, TP. Hồ Chí Minh",THPT Nguyễn Thị Minh Khai,"thpt  nguyễn thị minh khai, quận 3, tp. hồ chí minh",thpt nguyễn thị minh khai
Đại Học Lâm Nghiệp Quốc Gia Việt Nam,ĐH Lâm nghiệp,đại học lâm nghiệp quốc gia việt nam,đh lâm nghiệp
CAO DANG SU PHAM/ DAI HOC SAI GON,ĐH Sài Gòn,cao dang su pham/ dai hoc sai gon,đh sài gòn
Ton Duc Thang University - Vietnam,ĐH Tôn Đức Thắng,ton duc thang university - vietnam,đh tôn đức thắng
truong trung hoc pho thong tan long,THPT Tân Long,truong trung hoc pho thong tan long,thpt tân long
TRUONG THPT ALuoi,THPT A Lưới,truong thpt aluoi,thpt a lưới
Trung Tâm dạy Nghề Đức Huệ,GDNN-GDTX Đức Huệ,trung tâm dạy nghề đức huệ,gdnn-gdtx đức huệ
DHSP Ha Noi 2,ĐH Sư phạm Hà Nội,dhsp ha noi 2,đh sư phạm hà nội
Cao Đẳng Mĩ Thuật Huế,ĐH Nghệ thuật - ĐH Huế,cao đẳng mĩ thuật huế,đh nghệ thuật - đh huế
thpt hoanh bo,THPT Hoành Bồ,thpt hoanh bo,thpt hoành bồ
CD thương mại đà nẵng,CĐ Thương mại Đà Nẵng,cd thương mại đà nẵng,cđ thương mại đà nẵng
THPT Gia Nghia,THPT Gia Nghĩa,thpt gia nghia,thpt gia nghĩa
12C16 Trường THPT Lương Thế Vinh,THPT Lương Thế Vinh,12c16 trường thpt lương thế vinh,thpt lương thế vinh
Trường THPT Bạch Mai,THPT Trần Nhân Tông,trường thpt bạch mai,thpt trần nhân tông
Đại Học XD,ĐH Xây Dựng Hà Nội,đại học xd,đh xây dựng hà nội
Trường THPT bo ha,THPT Bố Hạ,trường thpt bo ha,thpt bố hạ
CD YTE KIEN GIANG,CĐ Y tế Kiên Giang,cd yte kien giang,cđ y tế kiên giang
THPT Đà Loan - Đức Trọng - Lâm Đồng,THPT Nguyễn Bỉnh Khiêm,thpt đà loan - đức trọng - lâm đồng,thpt nguyễn bỉnh khiêm
"Trường Đại học Công nghệ Thông tin, Đại học Quốc gia Thành phố Hồ Chí Minh",ĐH Công nghệ Thông tin - ĐH Quốc gia TP.HCM,"trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",đh công nghệ thông tin - đh quốc gia tp.hcm
Dai hoc Ton Duc Thang - TP.HCM,ĐH Tôn Đức Thắng,dai hoc ton duc thang - tp.hcm,đh tôn đức thắng
Trường THPT Chu Văn An Krôngpa Gia Lai,THPT Chu Văn An,trường thpt chu văn an krôngpa gia lai,thpt chu văn an
trung cap csgt,TC Cảnh Sát Giao Thông,trung cap csgt,tc cảnh sát giao thông
Trung cap y te nam dinh,TC Y tế Nam Định,trung cap y te nam dinh,tc y tế nam định
THPT Trần Trường Sinh - Giao Thạnh,THPT Trần Trường Sinh,thpt trần trường sinh - giao thạnh,thpt trần trường sinh
Đại học Mỹ Tho,ĐH Tiền Giang,đại học mỹ tho,đh tiền giang
Thpt dag thuc hua,THPT Đặng Thúc Hứa,thpt dag thuc hua,thpt đặng thúc hứa
truong thpt nguyen canh chan,THPT Nguyễn Cảnh Chân,truong thpt nguyen canh chan,thpt nguyễn cảnh chân
ĐH Tài chính - Ngân hàng,ĐH Tài chính Ngân hàng,đh tài chính - ngân hàng,đh tài chính ngân hàng
THPT PL,THPT Thị Xã Phước Long,thpt pl,thpt thị xã phước long
Trường THPT Phan Văn Trị,THPT Phan Văn Trị,trường thpt phan văn trị,thpt phan văn trị
Truong THPT Chau Thanh A,THPT Châu Thành,truong thpt chau thanh a,thpt châu thành
Cao Đẳng Sư Phạm Buôn Ma Thuột,CĐ Sư Phạm Đắk Lắk,cao đẳng sư phạm buôn ma thuột,cđ sư phạm đắk lắk
Trường TCCN Ý Việt,TC Chuyên nghiệp Ý Việt,trường tccn ý việt,tc chuyên nghiệp ý việt
Học viện TTN Việt Nam,HV Thanh Thiếu Niên,học viện ttn việt nam,hv thanh thiếu niên
THPT Trần Nhân Tông - Hà Nội,THPT Trần Nhân Tông,thpt trần nhân tông - hà nội,thpt trần nhân tông
Tunku Abdul Rahman University College,ĐH Tunku Abdul Rahman,tunku abdul rahman university college,đh tunku abdul rahman
Truong Dai hoc Ngoai Thuong,ĐH Ngoại thương,truong dai hoc ngoai thuong,đh ngoại thương
Thpt minh chau,THPT Minh Châu,thpt minh chau,thpt minh châu
QTKD KTQD,ĐH Kinh Tế Quốc Dân,qtkd ktqd,đh kinh tế quốc dân
THPT tân phú hậu giang,THPT Tân Phú,thpt tân phú hậu giang,thpt tân phú
CD Luong Thuc Thuc Pham Da Nang,CĐ Lương Thực Thực Phẩm,cd luong thuc thuc pham da nang,cđ lương thực thực phẩm
cong nghiep tphcm,ĐH Công nghiệp TP.HCM,cong nghiep tphcm,đh công nghiệp tp.hcm
LHU,ĐH Lạc Hồng,lhu,đh lạc hồng
trung tam day nghe va gdtx huyen cu lao dung,GDNN-GDTX Cù Lao Dung,trung tam day nghe va gdtx huyen cu lao dung,gdnn-gdtx cù lao dung
Trường THPT phu binh,THPT Phú Bình,trường thpt phu binh,thpt phú bình
cao dang nghe co dien va thuy loi,CĐ Nghề Cơ điện và Thủy lợi,cao dang nghe co dien va thuy loi,cđ nghề cơ điện và thủy lợi
HCMUP,ĐH Sư Phạm TP.HCM,hcmup,đh sư phạm tp.hcm
Đại học SPHN,ĐH Sư phạm Hà Nội,đại học sphn,đh sư phạm hà nội
THPT Nguyễn Văn Hai,THPT Nguyễn Văn Hai,thpt nguyễn văn hai,thpt nguyễn văn hai
Hai Phong University & Vimaru,ĐH Hải Phòng,hai phong university & vimaru,đh hải phòng
cao đẳng kĩ thuật LÝ TỰ TRỌNG,CĐ Lý Tự Trọng TP.HCM,cao đẳng kĩ thuật lý tự trọng,cđ lý tự trọng tp.hcm
bkhn,ĐH Bách khoa Hà Nội,bkhn,đh bách khoa hà nội
Trường THPT Đông Anh,THPT Đông Anh,trường thpt đông anh,thpt đông anh
THPT Nguyen Dinh Chieu - Ben Tre,THPT Nguyễn Đình Chiểu,thpt nguyen dinh chieu - ben tre,thpt nguyễn đình chiểu
Truong THPT Que Son,THPT Quế Sơn,truong thpt que son,thpt quế sơn
truong cao dang ky nghe dung quat,CĐ Kỹ nghệ Dung Quất,truong cao dang ky nghe dung quat,cđ kỹ nghệ dung quất
"Trường Đại học Tây đô, Tp Cần thơ",ĐH Tây Đô,"trường đại học tây đô, tp cần thơ",đh tây đô
Cao Đẳng Y tế Điện Biên,CĐ Y Tế Điện Biên,cao đẳng y tế điện biên,cđ y tế điện biên
Trường THPT phương phú,THPT Phương Nam,trường thpt phương phú,thpt phương nam
Truong Dai hoc Tien Giang,ĐH Tiền Giang,truong dai hoc tien giang,đh tiền giang
truong cao dang kinh te ky thuat thuong mai,CĐ Kinh tế Kỹ thuật Thương mại,truong cao dang kinh te ky thuat thuong mai,cđ kinh tế kỹ thuật thương mại
THPT Cẩm Lý - Lục Nam - Bắc Giang,THPT Cẩm Lý,thpt cẩm lý - lục nam - bắc giang,thpt cẩm lý
th Trường THCS-THPT viet anh 2 tu 01 02 2020,THCS-THPT Việt Anh,th trường thcs-thpt viet anh 2 tu 01 02 2020,thcs-thpt việt anh
Trường cao đẳng nghề 5 Bộ Quốc Phòng QK5,CĐ Nghề Bộ Quốc phòng,trường cao đẳng nghề 5 bộ quốc phòng qk5,cđ nghề bộ quốc phòng
Dinh Tien Hoang High School,THPT Đinh Tiên Hoàng,dinh tien hoang high school,thpt đinh tiên hoàng
Trường Trung Cấp Nghề Đức Hòa,TC Nghề Đức Hòa,trường trung cấp nghề đức hòa,tc nghề đức hòa
University of edu,ĐH Giáo Dục - ĐH Quốc Gia Hà Nội,university of edu,đh giáo dục - đh quốc gia hà nội
THPT Quynh Luu 4,THPT Quỳnh Lưu,thpt quynh luu 4,thpt quỳnh lưu
tptth gang thep,THPT Gang Thép,tptth gang thep,thpt gang thép
truong trung hoc pho thong hoa vang,THPT Hòa Vang,truong trung hoc pho thong hoa vang,thpt hòa vang
Trường THPT bac son h kim boi,THPT Bắc Sơn,trường thpt bac son h kim boi,thpt bắc sơn
cap 3 dong van,THPT Đồng Văn,cap 3 dong van,thpt đồng văn
NGUYỄN HỮU HUÂN THỦ ĐỨC,THPT Nguyễn Hữu Huân,nguyễn hữu huân thủ đức,thpt nguyễn hữu huân
Trung Hoc Pho Thong Doan van to,THPT Đoàn Văn Tố,trung hoc pho thong doan van to,thpt đoàn văn tố
THPT Hàn Thuyên,THPT Hàn Thuyên,thpt hàn thuyên,thpt hàn thuyên
Trường THPT thong linh,THPT Thống Linh,trường thpt thong linh,thpt thống linh
Trường Trung học Phổ Thông Cây Dương,THPT Cây Dương,trường trung học phổ thông cây dương,thpt cây dương
DDHSP HA NOI,ĐH Sư phạm Hà Nội,ddhsp ha noi,đh sư phạm hà nội
Trường THPT tran van hoai,THPT Trần Văn Hoài,trường thpt tran van hoai,thpt trần văn hoài
"THPT Nguyễn Trường Tộ, Tp. Tuy Hòa, Tỉnh Phú Yên",THPT Nguyễn Trường Tộ,"thpt nguyễn trường tộ, tp. tuy hòa, tỉnh phú yên",thpt nguyễn trường tộ
Trường THPT Nguyễn Siêu - Hưng Yên,THPT Nguyễn Siêu,trường thpt nguyễn siêu - hưng yên,thpt nguyễn siêu
Đại học Quảng Bình,ĐH Quảng Bình,đại học quảng bình,đh quảng bình
THPT Thủ Thừa,THPT Thủ Thừa,thpt thủ thừa,thpt thủ thừa
ĐHKTCN Thái Nguyên,ĐH Kỹ Thuật Công Nghiệp - ĐH Thái Nguyên,đhktcn thái nguyên,đh kỹ thuật công nghiệp - đh thái nguyên
truong sy quan phong hoa,Sĩ quan phòng hoá,truong sy quan phong hoa,sĩ quan phòng hoá
Trường THPT nga nam,THPT Ngã Năm,trường thpt nga nam,thpt ngã năm
"THPT  Nhị Long, Càng Long, Trà Vinh",THPT Hồ Thị Nhâm,"thpt  nhị long, càng long, trà vinh",thpt hồ thị nhâm
Trường THPT a nghia hung,THPT A Nghĩa Hưng,trường thpt a nghia hung,thpt a nghĩa hưng
THPT BÌNH SƠN,THPT Bình Sơn,thpt bình sơn,thpt bình sơn
TTrường THPT huynh thuc khang,THPT Huỳnh Thúc Kháng,ttrường thpt huynh thuc khang,thpt huỳnh thúc kháng
Trung Cap nghe duc hoa,TC Nghề Đức Hòa,trung cap nghe duc hoa,tc nghề đức hòa
Trường THPT Lê Trọng Tấn,THPT Lê Trọng Tấn,trường thpt lê trọng tấn,thpt lê trọng tấn
Trường THPT Ngô Quyền - Hải Phòng,THPT Ngô Quyền,trường thpt ngô quyền - hải phòng,thpt ngô quyền
trường đặng thúc hứa,THPT Đặng Thúc Hứa,trường đặng thúc hứa,thpt đặng thúc hứa
Trường THPT Dân Lập Phi Mô,THPT Dân Lập Phi Mô,trường thpt dân lập phi mô,thpt dân lập phi mô
Trường Đại học Quốc tế Hồng Bàng - HIU,ĐH Quốc Tế Hồng Bàng,trường đại học quốc tế hồng bàng - hiu,đh quốc tế hồng bàng
Trường CĐ Sư Phạm Trung Ương Nha Trang,CĐ Sư Phạm Trung ương Nha Trang,trường cđ sư phạm trung ương nha trang,cđ sư phạm trung ương nha trang
Trường PTDTNT Tỉnh Lai Châu,THPT DTNT Lai Châu,trường ptdtnt tỉnh lai châu,thpt dtnt lai châu
"THPT Nguyễn Huệ, Voi, Kỳ Anh",THPT Nguyễn Huệ,"thpt nguyễn huệ, voi, kỳ anh",thpt nguyễn huệ
"ĐH Hồng Đức, Thanh Hóa",ĐH Hồng Đức,"đh hồng đức, thanh hóa",đh hồng đức
truong cao dang duoc phu tho,CĐ Dược Phú Thọ,truong cao dang duoc phu tho,cđ dược phú thọ
ĐH Kinh Tế HCM,ĐH Kinh tế TP. HCM,đh kinh tế hcm,đh kinh tế tp. hcm
Trường Đại học Công Nghiệp Việt Trì (VUI),ĐH Công Nghiệp Việt Trì,trường đại học công nghiệp việt trì (vui),đh công nghiệp việt trì
THPT Quỳnh Lưu 4,THPT Quỳnh Lưu,thpt quỳnh lưu 4,thpt quỳnh lưu
Đai hoc mo Hong Cam,CĐ Nghề Mỏ Hồng Cẩm,đai hoc mo hong cam,cđ nghề mỏ hồng cẩm
Trường THPT tân Phước Khánh,THPT Tân Phước Khánh,trường thpt tân phước khánh,thpt tân phước khánh
THPT Phu Bai,THPT Phú Bài,thpt phu bai,thpt phú bài
GDTX Quận Tân Phú,GDNN-GDTX quận Tân Phú,gdtx quận tân phú,gdnn-gdtx quận tân phú
truong trung cap asean,TC ASEAN,truong trung cap asean,tc asean
Trường THPT Nguyễn Công Hoan,THPT Nguyễn Công Hoan,trường thpt nguyễn công hoan,thpt nguyễn công hoan
Trường Đại Học Su Pham Kỹ Thuật Hưng Yên,ĐH Sư Phạm Kỹ Thuật Hưng Yên,trường đại học su pham kỹ thuật hưng yên,đh sư phạm kỹ thuật hưng yên
Trường Đại học Kiến trúc TPHCM,ĐH Kiến trúc TP.HCM,trường đại học kiến trúc tphcm,đh kiến trúc tp.hcm
Trường Đại Học Sư Phạm TPHCM,ĐH Sư phạm Hà Nội,trường đại học sư phạm tphcm,đh sư phạm hà nội
Khoa Giáo Dục Thể Chất - Đại Học Huế,ĐH Huế,khoa giáo dục thể chất - đại học huế,đh huế
THPT Phụ Dực,THPT Phụ Dực,thpt phụ dực,thpt phụ dực
Trường THPT Cao Lãnh 1,THPT Cao Lãnh,trường thpt cao lãnh 1,thpt cao lãnh
STU - Trường Đại Học Công Nghệ Sài Gòn,ĐH Công Nghệ Sài Gòn,stu - trường đại học công nghệ sài gòn,đh công nghệ sài gòn
National University Of Civil Engineering,ĐH Xây Dựng,national university of civil engineering,đh xây dựng
dai hoc cong nghiep thanh pho ho chi minh o quang ngai,ĐH Công Nghiệp TP.HCM,dai hoc cong nghiep thanh pho ho chi minh o quang ngai,đh công nghiệp tp.hcm
Trường Đại Học Công Nghiệp Mỏ Quảng Ninh,ĐH Công nghiệp Quảng Ninh,trường đại học công nghiệp mỏ quảng ninh,đh công nghiệp quảng ninh
gdtx dong van,GDNN-GDTX Đồng Văn,gdtx dong van,gdnn-gdtx đồng văn
VAVC - Trường Cao Đẳng nghề Việt Úc,CĐ Nghề Việt Úc,vavc - trường cao đẳng nghề việt úc,cđ nghề việt úc
THPT Hàng Hải,THPT Hàng Hải,thpt hàng hải,thpt hàng hải
Trường Cao đẳng Nông nghiệp và Phát triển Nông thôn Bắc Bộ,CĐ Nông Nghiệp Và Phát Triển Nông Thôn Bắc Bộ,trường cao đẳng nông nghiệp và phát triển nông thôn bắc bộ,cđ nông nghiệp và phát triển nông thôn bắc bộ
thpt Bui Thi Xuan-Hue,THPT Bùi Thị Xuân,thpt bui thi xuan-hue,thpt bùi thị xuân
Trường THPT Nguyễn Thái Bình Tphcm,THPT Nguyễn Thái Bình,trường thpt nguyễn thái bình tphcm,thpt nguyễn thái bình
PTTH Tran Phu - Hanoi,THPT Trần Phú,ptth tran phu - hanoi,thpt trần phú
truong pho thong le quy don,THPT Lê Quý Đôn,truong pho thong le quy don,thpt lê quý đôn
DHYK Thai Nguyen,ĐH Y Dược Thái Nguyên,dhyk thai nguyen,đh y dược thái nguyên
truong trung hoc pho thong dai an,THPT Đại An,truong trung hoc pho thong dai an,thpt đại an
Thu Thiem High School,THPT Thủ Thiêm,thu thiem high school,thpt thủ thiêm
Đại Học Thông Tin Liên Lạc,ĐH Thông tin Liên lạc,đại học thông tin liên lạc,đh thông tin liên lạc
Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,ĐH Kinh tế Tài chính TP.HCM,đại học kinh tế - tài chính thành phố hồ chí minh,đh kinh tế tài chính tp.hcm
THPT Vinh Hung,THPT Vĩnh Hưng,thpt vinh hung,thpt vĩnh hưng
THPT CHU VAN AN Thai Nguyen,THPT Chu Văn An,thpt chu van an thai nguyen,thpt chu văn an
Phổthông hiệp hòa 3,THPT Hiệp Hòa,phổthông hiệp hòa 3,thpt hiệp hòa
ĐH Y HN,ĐH Y Hà Nội,đh y hn,đh y hà nội
truong thpt bac me,THPT Bắc Mê,truong thpt bac me,thpt bắc mê
Trường Ngân hàng 4 Sơn tây,HV Ngân Hàng,trường ngân hàng 4 sơn tây,hv ngân hàng
thpt mai hắc đế,THPT Mai Hắc Đế,thpt mai hắc đế,thpt mai hắc đế
truong ptth yen dinh 1,THPT Yên Định,truong ptth yen dinh 1,thpt yên định
THPT Yen khánh B,THPT Yên Khánh,thpt yen khánh b,thpt yên khánh
TTPT Thảo Nguyên,THPT Thảo Nguyên,ttpt thảo nguyên,thpt thảo nguyên
THPT Gia Hoi School - HUE,THPT Gia Hội,thpt gia hoi school - hue,thpt gia hội
cao dang kinh te cong nghe tphcm,CĐ Kinh tế Công nghệ TP.HCM,cao dang kinh te cong nghe tphcm,cđ kinh tế công nghệ tp.hcm
PTTH Phan Huy Chú - Đống Đa - Hà Nội,THPT Phan Huy Chú,ptth phan huy chú - đống đa - hà nội,thpt phan huy chú
THPT Ngô Sĩ Liên-Rạch Giá Kiên Giang,THPT Ngô Sĩ Liên,thpt ngô sĩ liên-rạch giá kiên giang,thpt ngô sĩ liên
nonglamtphcm,ĐH Nông Lâm,nonglamtphcm,đh nông lâm
THPT Vàng Danh Uông Bí,THPT Hoàng Văn Thụ,thpt vàng danh uông bí,thpt hoàng văn thụ
"THPT Chu Văn An, Buôn Ma Thuột, ĐăkLăk",THPT Chu Văn An,"thpt chu văn an, buôn ma thuột, đăklăk",thpt chu văn an
THPT Nguyen Van Cu,THPT Nguyễn Văn Cừ,thpt nguyen van cu,thpt nguyễn văn cừ
Cao đẳng Nghề Công Nghiệp Hà Nội,CĐ Nghề Công nghiệp Hà Nội,cao đẳng nghề công nghiệp hà nội,cđ nghề công nghiệp hà nội
THPT Nguyễn Trung Trực Tây Ninh,THPT Nguyễn Trung Trực,thpt nguyễn trung trực tây ninh,thpt nguyễn trung trực
THPT Lý Thường Kiệt,THPT Lý Thường Kiệt,thpt lý thường kiệt,thpt lý thường kiệt
truong trung cap ky thuat va cong nghe cuu long,TC Kỹ Thuật Và Công Nghệ Cửu Long,truong trung cap ky thuat va cong nghe cuu long,tc kỹ thuật và công nghệ cửu long
phổ thông Nguyễn Xuân Ôn,THPT Nguyễn Xuân Ôn,phổ thông nguyễn xuân ôn,thpt nguyễn xuân ôn
trường ptth Tầm Vu 1,THPT Tầm Vu,trường ptth tầm vu 1,thpt tầm vu
TRƯỜNG TRUNG CẤP ĐÔNG DƯƠNG,TC Đông Dương,trường trung cấp đông dương,tc đông dương
Lương Thế Vinh Highschool,THCS-THPT Lương Thế Vinh,lương thế vinh highschool,thcs-thpt lương thế vinh
tt gdnn gdtx quang hoa,GDNN-GDTX Quảng Hòa,tt gdnn gdtx quang hoa,gdnn-gdtx quảng hòa
Trường THPT atk tan trao,THPT ATK Tân Trào,trường thpt atk tan trao,thpt atk tân trào
"PTTH  Thanh  Bình, TP .Hải Dương",THPT Thanh Bình,"ptth  thanh  bình, tp .hải dương",thpt thanh bình
Trường THPT Hòa Bình Chợ Mới An Giang,THPT Võ Thành Trinh,trường thpt hòa bình chợ mới an giang,thpt võ thành trinh
ttgdnn gdtx quang dien,GDNN-GDTX Quảng Điền,ttgdnn gdtx quang dien,gdnn-gdtx quảng điền
THPT Sơn Thịnh,THPT Sơn Thịnh,thpt sơn thịnh,thpt sơn thịnh
Trung học phổ  thông Lê Văn Linh,THPT Lê Văn Thiêm,trung học phổ  thông lê văn linh,thpt lê văn thiêm
tt gdnn gdtx long thanh,GDNN-GDTX Long Thành,tt gdnn gdtx long thanh,gdnn-gdtx long thành
